이	VCP	0.01828		나오	VV	0.000725
있	VA	0.011699		가지	VV	0.00072
하	VV	0.009774		씨	NNB	0.00071
것	NNB	0.009733		시키	XSV	0.000708
들	XSN	0.006898		만들	VV	0.000704
그	MM	0.005327		지금	NNG	0.0007
되	VV	0.003613		생각하	VV	0.000695
수	NNB	0.003474		그러	VV	0.000692
이	NP	0.003361		속	NNG	0.000685
보	VX	0.00331		하나	NR	0.000655
않	VX	0.002976		집	NNG	0.000649
없	VA	0.00292		살	VV	0.000648
나	NP	0.00269		모르	VV	0.000645
사람	NNG	0.002074		적	XSN	0.000643
주	VV	0.001885		월	NNB	0.000639
아니	VCN	0.001871		데	NNB	0.000636
등	NNB	0.001822		자신	NNG	0.000632
같	VA	0.001725		안	MAG	0.000626
우리	NP	0.001715		어떤	MM	0.000623
때	NNG	0.001686		내	NP	0.000622
년	NNB	0.001648		내	VV	0.000614
가	VV	0.001619		경우	NNG	0.000614
한	MM	0.001584		명	NNB	0.00061
지	VX	0.001538		생각	NNG	0.000587
대하	VV	0.001504		시간	NNG	0.000573
오	VV	0.001491		그녀	NP	0.000572
말	NNG	0.001322		다시	MAG	0.000556
일	NNG	0.00124		이런	MM	0.00055
그렇	VA	0.001232		앞	NNG	0.000549
위하	VV	0.001171		보이	VV	0.000543
때문	NNB	0.001147		번	NNB	0.000543
그것	NP	0.001099		나	VX	0.000538
두	VV	0.001063		다른	MM	0.000536
말하	VV	0.001031		어떻	VA	0.000533
알	VV	0.000996		여자	NNG	0.000532
그러나	MAJ	0.000978		개	NNB	0.00053
받	VV	0.000924		전	NNG	0.000529
못하	VX	0.000905		들	VV	0.000515
일	NNB	0.00088		사실	NNG	0.000512
그런	MM	0.000879		이렇	VA	0.000512
또	MAG	0.000871		점	NNG	0.000508
문제	NNG	0.000824		싶	VX	0.000505
더	MAG	0.000802		말	VX	0.000504
사회	NNG	0.000793		정도	NNG	0.000496
많	VA	0.000789		좀	MAG	0.000493
그리고	MAJ	0.00078		원	NNB	0.000492
좋	VA	0.000764		잘	MAG	0.000491
크	VA	0.000759		통하	VV	0.000487
따르	VV	0.000738		소리	NNG	0.000486
중	NNB	0.000733		놓	VX	0.000483
